server_time,device_timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,temp_c
2026-04-03T14:59:16.383,167217,-0.000549,-0.00415,0.997192,0.054594,-0.055347,-0.106803,1.673411,9.885856e-06,-1.732982,33.71153
2026-04-03T14:59:17.096,168036,-0.001038,-0.001709,1.002563,0.115629,0.005688,0.015267,-3.346812,1.792946,-1e-05,33.72351
2026-04-03T14:59:17.864,168753,-0.000549,-0.01001,0.999146,0.2377,-0.116382,-0.106803,-5.020219,3.585883,5.198906,33.70554
2026-04-03T14:59:18.586,169519,0.000427,-0.001709,1.000122,0.054594,-0.055347,0.198373,-8.367034,3.585883,-5.198926,33.69955
2026-04-03T14:59:19.296,170237,-6.1e-05,-0.006592,0.997681,0.115629,0.005688,0.015267,-5.020219,7.171756,-5.198926,33.68458
2026-04-03T14:59:20.021,170955,-0.001038,-0.003662,0.998657,0.115629,-0.055347,-0.045768,-6.693626,-1.792927,17.32971,33.69057
2026-04-03T14:59:20.680,171671,-0.017151,-0.023682,0.997681,0.176664,-0.116382,-0.228873,3.346818,-1.792927,3.465934,33.72351
2026-04-03T14:59:21.498,172337,0.009705,-0.000732,0.999634,0.176664,0.066723,0.015267,-3.346812,-1.792927,-10.39784,33.71753
2026-04-03T14:59:22.368,173157,-0.002502,-0.002197,0.997192,0.176664,-0.055347,0.076302,5.020225,9.885856e-06,12.13079,33.71153
2026-04-03T14:59:23.210,174033,0.002869,-0.001709,1.004517,0.115629,-0.116382,-0.106803,-6.693626,12.55057,13.86377,33.71453
2026-04-03T14:59:24.191,174913,0.001404,-0.002686,1.002563,0.176664,0.005688,-0.045768,8.36704,10.75763,-5.198926,33.70554
2026-04-03T14:59:25.185,175940,0.004333,-0.001709,0.999634,0.176664,-0.055347,-0.045768,13.38726,-8.964672,17.32971,33.7325
2026-04-03T14:59:25.904,176893,0.001404,-0.003174,0.997681,0.115629,-0.116382,0.015267,-3.346812,-5.3788,-3.465954,33.72052
2026-04-03T14:59:26.824,177568,0.001892,-0.001221,0.996704,0.115629,-0.055347,0.015267,15.06067,-3.585863,-1.732982,33.7325
2026-04-03T14:59:27.655,178481,0.001892,-0.003662,1.002563,0.115629,-0.055347,-0.045768,3.346818,1.792946,-1e-05,33.69656
2026-04-03T14:59:28.469,179301,0.000916,-0.003662,0.998657,0.115629,0.005688,-0.106803,5.020225,-3.585863,5.198906,33.70554
2026-04-03T14:59:29.282,180139,0.00238,-0.003174,1.001099,-0.006441,-0.055347,0.015267,6.693633,1.792946,6.931879,33.70854
2026-04-03T14:59:30.305,180939,0.001404,-0.002197,1.001587,0.054594,0.005688,-0.045768,1.673411,14.3435,-8.66487,33.75047
2026-04-03T14:59:31.122,181964,-0.000549,-0.001221,0.999634,0.115629,-0.116382,-0.106803,11.71385,-3.585863,5.198906,33.73849
2026-04-03T14:59:31.993,182783,0.001892,-0.003662,1.000122,0.176664,-0.116382,-0.045768,1.673411,3.585883,-5.198926,33.72351
2026-04-03T14:59:32.967,183713,0.000427,-0.003662,1.002075,0.115629,0.005688,-0.106803,6.693633,-5.3788,10.39782,33.72951
2026-04-03T14:59:33.920,184626,0.003357,-0.002197,0.997681,0.176664,-0.116382,0.015267,-1.673404,7.171756,1.732962,33.70854
2026-04-03T14:59:34.814,185555,0.001404,-0.00415,1.002563,0.176664,-0.055347,-0.045768,1.673411,-7.171736,1.732962,33.72052
2026-04-03T14:59:35.634,186468,0.000916,-0.002686,0.995728,0.176664,-0.055347,0.015267,-1.673404,7.171756,5.198906,33.71153
2026-04-03T14:59:36.452,187287,-0.002502,-0.006104,1.00061,0.2377,0.005688,-0.289909,-10.04044,-1.792927,6.931879,33.72951
2026-04-03T14:59:37.218,188228,0.00238,-0.000732,1.002563,0.115629,0.066723,0.015267,-1.673404,3.585883,12.13079,33.72351
2026-04-03T14:59:40.345,188891,0.001892,-0.002686,0.996704,0.054594,-0.116382,-0.045768,-3.346812,-1.792927,-3.465954,33.74448
2026-04-03T14:59:41.203,191998,0.001404,-0.005127,0.997192,0.054594,-0.055347,0.015267,-11.71385,3.585883,15.59674,33.74448
2026-04-03T14:59:41.928,192867,0.000916,-0.003662,0.997192,0.176664,-0.055347,-0.045768,-8.367034,9.885856e-06,12.13079,33.75347
2026-04-03T14:59:42.595,193585,0.000916,-0.002197,0.996704,-0.006441,0.005688,-0.045768,-6.693626,-8.964672,-3.465954,33.75347
2026-04-03T14:59:43.310,194254,-0.000549,-0.002686,1.001587,-0.006441,-0.055347,0.015267,11.71385,17.92938,-1.732982,33.75347
2026-04-03T14:59:44.079,194967,-0.000549,-0.002686,1.000122,0.054594,-0.055347,-0.106803,-8.367034,3.585883,1.732962,33.72951
2026-04-03T14:59:44.845,195737,0.001404,-0.005615,0.999146,0.115629,-0.055347,0.015267,-1.673404,-3.585863,8.66485,33.7355
2026-04-03T14:59:45.563,196513,0.003357,-0.003174,1.001587,0.2377,-0.116382,-0.045768,3.346818,-5.3788,13.86377,33.75047
2026-04-03T14:59:46.333,197230,0.00238,-0.003662,0.995239,0.115629,-0.055347,0.076302,1.673411,3.585883,-8.66487,33.70255
2026-04-03T14:59:47.102,197994,0.000916,-0.002686,0.999146,0.054594,0.066723,0.015267,3.346818,-8.964672,-6.931898,33.72651
2026-04-03T14:59:47.766,198757,0.000427,-0.001221,0.999146,0.054594,-0.055347,-0.045768,-1.673404,10.75763,12.13079,33.7325
2026-04-03T14:59:48.534,199424,0.001892,-0.003662,0.999146,0.115629,-0.116382,-0.106803,8.36704,17.92938,12.13079,33.72951
2026-04-03T14:59:49.301,200309,0.00238,-0.001709,1.002075,0.054594,-0.055347,0.076302,-5.020219,9.885856e-06,-1.732982,33.73849
2026-04-03T14:59:50.017,200958,0.000916,-0.003662,0.998657,0.2377,0.005688,0.015267,-10.04044,-8.964672,-6.931898,33.73849
2026-04-03T14:59:50.684,201675,0.001404,-0.001709,1.001099,0.176664,0.005688,0.015267,6.693633,12.55057,-6.931898,33.7355
2026-04-03T14:59:51.400,202341,0.001404,-0.001709,0.999634,0.115629,-0.055347,-0.045768,10.04045,1.792946,-3.465954,33.76245
2026-04-03T14:59:52.247,203058,0.000916,-0.005127,0.998657,0.054594,0.066723,0.015267,3.303422e-06,-8.964672,17.32971,33.74747
2026-04-03T14:59:53.038,203927,0.001892,-0.003662,1.002075,-0.006441,0.005688,-0.045768,-6.693626,-5.3788,3.465934,33.72651
2026-04-03T14:59:53.859,204699,0.000427,-0.001709,0.999634,0.115629,-0.055347,0.015267,5.020225,9.885856e-06,-12.13081,33.72651
2026-04-03T14:59:54.881,205525,-6.1e-05,-0.00415,0.997681,0.115629,-0.116382,0.015267,-1.673404,9.885856e-06,-8.66487,33.75047
2026-04-03T14:59:55.744,206540,0.003357,-0.002197,0.998657,0.054594,-0.055347,0.076302,3.303422e-06,-5.3788,-1e-05,33.75347
2026-04-03T14:59:56.518,207408,0.00238,-0.00415,1.003052,0.054594,-0.055347,-0.045768,3.303422e-06,8.964693,10.39782,33.74149
2026-04-03T14:59:57.546,208177,0.019958,-0.003174,0.991333,-0.006441,0.005688,0.198373,1.673411,-7.171736,-1.732982,33.75946
2026-04-03T14:59:58.212,209209,0.000427,0.001221,0.999634,0.176664,-0.055347,-0.167838,-1.673404,-7.171736,-5.198926,33.74149
2026-04-03T14:59:58.930,209870,-0.002991,0.002686,1.00061,0.115629,0.005688,0.015267,1.673411,-7.171736,5.198906,33.75347
2026-04-03T14:59:59.754,210748,-6.1e-05,-0.002197,0.995728,0.115629,-0.055347,-0.045768,-3.346812,-5.3788,6.931879,33.74448
2026-04-03T15:00:00.627,211402,0.000427,-0.00415,1.000122,0.176664,-0.055347,-0.045768,-1.673404,3.585883,-5.198926,33.72052
2026-04-03T15:00:01.484,212272,-0.000549,-0.003174,0.998657,0.2377,0.005688,-0.106803,1.673411,10.75763,1.732962,33.74448
2026-04-03T15:00:02.256,213147,0.001404,-0.002686,1.001099,0.054594,0.005688,0.076302,10.04045,-1.792927,-1e-05,33.74747
2026-04-03T15:00:03.077,213911,0.001404,-0.003662,0.999634,0.115629,-0.116382,0.259408,-8.367034,3.585883,8.66485,33.74747
2026-04-03T15:00:03.788,214731,0.006775,-0.000732,1.002563,0.115629,-0.116382,0.198373,5.020225,3.585883,-8.66487,33.73849
2026-04-03T15:00:04.508,215449,0.004333,-0.003174,1.004028,0.176664,-0.116382,0.015267,-16.73407,-1.792927,-13.86379,33.74149
2026-04-03T15:00:05.172,216164,0.00238,-0.003174,1.001099,0.115629,-0.116382,0.076302,-3.346812,1.792946,6.931879,33.72951
2026-04-03T15:00:05.891,216835,0.000427,-0.001709,0.999634,0.115629,0.005688,0.015267,3.303422e-06,1.792946,-3.465954,33.70854
2026-04-03T15:00:06.608,217551,0.000427,-0.003662,0.997192,0.115629,0.005688,0.015267,3.346818,-1.792927,10.39782,33.71453
2026-04-03T15:00:07.325,218268,0.000916,-0.003174,0.998169,0.115629,0.005688,-0.045768,1.673411,9.885856e-06,-5.198926,33.72651
2026-04-03T15:00:08.050,218985,-0.000549,-0.003174,0.997192,0.115629,-0.055347,0.015267,-1.673404,-7.171736,-8.66487,33.71753
2026-04-03T15:00:08.760,219697,-0.003479,-0.002197,0.996704,0.115629,0.005688,0.015267,13.38726,1.792946,3.465934,33.72052
2026-04-03T15:00:09.477,220424,-0.000549,-0.003662,1.002075,0.054594,0.005688,0.015267,5.020225,3.585883,-5.198926,33.70255
2026-04-03T15:00:10.156,221135,0.001404,-0.000732,0.998657,0.054594,-0.055347,0.076302,10.04045,-12.55055,10.39782,33.71753
2026-04-03T15:00:10.913,221810,0.001404,-0.005127,0.997192,0.176664,-0.055347,-0.106803,5.020225,3.585883,-1.732982,33.69656
2026-04-03T15:00:11.626,222633,0.006287,-0.005127,1.002563,0.115629,-0.055347,0.076302,3.346818,8.964693,3.465934,33.72651
2026-04-03T15:00:12.497,223282,-0.002502,-0.005615,0.998657,0.054594,0.005688,0.137337,8.36704,10.75763,8.66485,33.7325
2026-04-03T15:00:13.178,224157,-0.000549,-0.000244,0.997681,-0.006441,-0.055347,0.015267,10.04045,-5.3788,3.465934,33.71153
2026-04-03T15:00:13.928,224821,-0.001038,-0.001709,1.00061,0.115629,0.005688,0.076302,-8.367034,10.75763,-1.732982,33.71153
2026-04-03T15:00:14.762,225654,-6.1e-05,-0.000732,0.997681,0.054594,-0.116382,-0.045768,-8.367034,7.171756,-19.0627,33.7325
2026-04-03T15:00:15.620,226405,0.00531,-0.005615,1.001099,0.054594,0.005688,0.015267,10.04045,1.792946,-1e-05,33.69955
2026-04-03T15:00:16.284,227281,0.000916,-0.002197,0.999146,0.115629,0.005688,0.015267,3.303422e-06,1.792946,20.79565,33.69057
2026-04-03T15:00:17.205,227941,0.001892,-0.003174,1.00061,0.115629,0.005688,-0.045768,-6.693626,8.964693,10.39782,33.7355
2026-04-03T15:00:18.125,228912,-0.001038,-0.001709,0.997681,0.115629,-0.116382,-0.045768,6.693633,-19.72229,-1e-05,33.70554
2026-04-03T15:00:19.049,229784,0.006287,-0.002686,1.005005,0.054594,-0.116382,0.015267,-3.346812,5.378819,-1e-05,33.72351
2026-04-03T15:00:19.921,230706,-0.001526,-0.003662,1.001099,0.054594,-0.055347,0.015267,8.36704,-10.75761,1.732962,33.73849
2026-04-03T15:00:23.860,231577,-6.1e-05,-0.003174,0.996704,0.054594,-0.116382,-0.106803,3.303422e-06,12.55057,-3.465954,33.70854
2026-04-03T15:00:24.525,235530,0.003357,-0.005127,0.999634,0.115629,-0.055347,0.015267,-3.346812,5.378819,6.931879,33.70255
2026-04-03T15:00:25.193,236187,-0.000549,-0.000244,0.995728,0.054594,0.005688,0.015267,1.673411,7.171756,15.59674,33.72651
